iter	Passed	Remaining
0	145	7148
1	210	5057
2	272	4270
3	336	3864
4	409	3688
5	473	3471
6	532	3272
7	601	3157
8	665	3032
9	734	2938
10	801	2840
11	859	2720
12	921	2622
13	994	2556
14	1061	2476
15	1124	2388
16	1190	2310
17	1252	2226
18	1315	2146
19	1407	2111
20	1472	2033
21	1537	1957
22	1601	1879
23	1664	1802
24	1729	1729
25	1798	1660
26	1859	1584
27	1920	1509
28	1961	1420
29	2023	1348
30	2089	1280
31	2159	1214
32	2222	1145
33	2286	1076
34	2358	1010
35	2423	942
36	2482	872
37	2553	806
38	2620	739
39	2693	673
40	2763	606
41	2830	539
42	2890	470
43	2953	402
44	3022	335
45	3084	268
46	3150	201
47	3219	134
48	3286	67
49	3359	0
