Mark,Models
AC,"['378_GT', 'ACE', 'ACECA', 'COBRA']"
ACURA,"['CL', 'CSX', 'EL', 'ILX', 'INTEGRA', 'LEGEND', 'MDX', 'NSX', 'RDX', 'RL', 'RLX', 'RSX', 'SLX', 'TL', 'TLX', 'TSX', 'ZDX']"
ADLER,"['DIPLOMAT', 'TRUMPF_JUNIOR']"
ALFA_ROMEO,"['105_115', '145', '146', '147', '155', '156', '159', '164', '166', '1900', '2600', '33', '4C', '6', '6C', '75', '8C_COMPETIZIONE', '90', 'ALFASUD', 'ALFETTA', 'ARNA', 'BRERA', 'DISCO_VOLANTE', 'GIULIA', 'GIULIETTA', 'GT', 'GTA', 'GTV', 'MITO', 'MONTREAL', 'RZ', 'SPIDER', 'SPRINT', 'STELVIO', 'SZ']"
ALPINA,"['B10', 'B11', 'B12', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'C1', 'C2', 'D10', 'D3', 'D4', 'D5', 'ROADSTER', 'XD3', 'XD4']"
ALPINE,"['A110', 'A310', 'A610', 'GTA']"
AM_GENERAL,['HUMVEE']
AMC,"['EAGLE', 'HORNET']"
APAL,['21541']
ARIEL,['ATOM']
ARO,"['10', '24']"
ASIA,"['RETONA', 'ROCSTA', 'TOPIC']"
ASTON_MARTIN,"['BULLDOG', 'CYGNET', 'DB_AR_1', 'DB11', 'DB5', 'DB7', 'DB9', 'DBS', 'DBX', 'LAGONDA', 'ONE_77', 'RAPIDE', 'TICKFORD_CAPRI', 'V12_VANTAGE', 'V12_ZAGATO', 'V8', 'V8_ZAGATO', 'V12', 'VIRAGE']"
AUDI,"['100', '200', '50', '80', '90', '920', 'A1', 'A2', 'A3', 'A4', 'A4_ALLROAD', 'A5', 'A6', 'ALLROAD', 'A7', 'A8', 'CABRIOLET', 'COUPE', 'E_TRON', 'E_TRON_SPORTBACK', 'NSU_RO_80', 'Q2', 'Q3', 'Q3_SPORTBACK', 'Q5', 'Q7', 'Q8', 'QUATTRO', 'R8', 'R8_LMP', 'RS2', 'RS3', 'RS4', 'RS5', 'RS6', 'RS7', 'RSQ3', 'RS_Q3_SPORTBACK', 'RS_Q8', 'S1', 'S2', 'S3', 'S4', 'S5', 'S6', 'S7', 'S8', 'SQ2', 'SQ5', 'SQ7', 'SQ8', 'TT', 'TT_RS', 'TTS', 'TYP_R', 'V8']"
AURUS,['SENAT']
AUSTIN,"['ALLEGRO', 'AMBASSADOR', 'FL2', 'MAESTRO', 'MAXI', 'METRO', 'MINI', 'MONTEGO', 'PRINCESS', 'SPRITE']"
AUSTIN_HEALEY,['3000']
AUTOBIANCHI,['A_112']
BAIC,"['A1', 'BJ_2020', 'BJ_212', 'EU260', 'JEEP_CHEROKEE_2500', 'LUBA']"
BAJAJ,['QUTE']
BALTIJAS_DZIPS,['BD_1322']
BATMOBILE,"['1989', '2018']"
BENTLEY,"['ARNAGE', 'AZURE', 'BENTAYGA', 'BROOKLANDS', 'CONTINENTAL', 'CONTINENTAL_FLYING_SPUR', 'CONTINENTAL_GT', 'EIGHT', 'FLYING_SPUR', 'MARK_VI', 'MULSANNE', 'R_TYPE', 'S', 'T_SERIES', 'TURBO_R']"
BERTONE,['FREECLIMBER']
BILENKIN,['VINTAGE']
BITTER,"['CD', 'TYPE_3']"
BMW,"['02', '1ER', 'M1', '2ER', '2ACTIVETOURER', '2GRANDTOURER', '2000_C_CS', '3ER', '3_15', '315', '3200', '321', '326', '327', '340', '4', '5ER', '501', '502', '503', '507', '6ER', '600', '7ER', '700', '8ER', 'E3', 'E9', 'I3', 'I8', 'M2', 'M3', 'M4', 'M5', 'M6', 'M8', 'NEW_CLASS', 'X1', 'X2', 'X3', 'X3_M', 'X4', 'X4_M', 'X5', 'X5_M', 'X6', 'X6_M', 'X7', 'Z1', 'Z3', 'Z3M', 'Z4', 'Z4_M', 'Z8']"
BORGWARD,"['2000', 'HANSA_1100']"
BRABUS,"['73_S', 'M_V12', 'ML_63_BITURBO', 'SV12']"
BRILLIANCE,"['FRV_BS2', 'H230', 'H530', 'M1', 'M2_BS4', 'M3_BC3', 'V3', 'V5']"
BRISTOL,"['BLENHEIM', 'BLENHEIM_SPEEDSTER', 'FIGHTER']"
BUFORI,"['GENEVA', 'LA_JOYA']"
BUGATTI,"['CHIRON', 'EB_110', 'EB_112', 'EB_VEYRON', 'TYPE_55']"
BUICK,"['CENTURY', 'ELECTRA', 'ENCLAVE', 'ENCORE', 'ENVISION', 'ESTATE_WAGON', 'EXCELLE', 'GL8', 'GS', 'LA_CROSSE', 'LE_SABRE', 'LIMITED', 'LUCERNE', 'PARK_AVENUE', 'RAINER', 'REATTA', 'REGAL', 'RENDEZVOUS', 'RIVIERA', 'ROADMASTER', 'SKYHAWK', 'SKYLARK', 'SPECIAL', 'SUPER', 'TERRAZA', 'VERANO', 'WILDCAT']"
BYD,"['E6', 'F0', 'F3', 'F5', 'F6', 'F8', 'FLYER', 'G3', 'G6', 'L3', 'M6', 'S6']"
BYVIN,"['BD_132J', 'BD_326J']"
